"DateAndTime","OS_Corr360 (Bloomberg-3-corridor 302) Occupancy","",
"2016-10-05 15:34:18","1","",
"2016-10-05 15:36:24","0","",
"2016-10-05 15:40:58","1","",
"2016-10-05 15:42:01","1","",
"2016-10-05 15:44:07","0","",
"2016-10-05 15:45:55","1","",
"2016-10-05 15:46:58","1","",
"2016-10-05 15:48:25","1","",
"2016-10-05 15:50:19","1","",
"2016-10-05 15:52:24","0","",
"2016-10-05 16:02:08","1","",
"2016-10-05 16:04:14","0","",
"2016-10-05 16:10:30","1","",
"2016-10-05 16:12:10","1","",
"2016-10-05 16:14:06","1","",
"2016-10-05 16:15:57","1","",
"2016-10-05 16:18:03","0","",
"2016-10-05 16:18:37","1","",
"2016-10-05 16:20:43","0","",
"2016-10-05 16:22:33","1","",
"2016-10-05 16:24:38","0","",
"2016-10-05 16:25:31","1","",
"2016-10-05 16:27:14","1","",
"2016-10-05 16:28:18","1","",
"2016-10-05 16:30:09","1","",
"2016-10-05 16:31:40","1","",
"2016-10-05 16:33:00","1","",
"2016-10-05 16:35:06","0","",
"2016-10-05 16:42:36","1","",
"2016-10-05 16:44:04","1","",
"2016-10-05 16:45:10","1","",
"2016-10-05 16:47:16","0","",
"2016-10-05 16:49:23","1","",
"2016-10-05 16:50:35","1","",
"2016-10-05 16:51:50","1","",
"2016-10-05 16:53:56","0","",
"2016-10-05 16:55:12","1","",
"2016-10-05 16:57:17","0","",
"2016-10-05 16:58:11","1","",
"2016-10-05 17:00:17","0","",
"2016-10-05 17:02:18","1","",
"2016-10-05 17:06:20","1","",
"2016-10-05 17:07:23","1","",
"2016-10-05 17:09:29","0","",
"2016-10-05 17:12:32","1","",
"2016-10-05 17:14:38","0","",
"2016-10-05 17:15:18","1","",
"2016-10-05 17:16:43","1","",
"2016-10-05 17:18:49","0","",
"2016-10-05 17:20:10","1","",
"2016-10-05 17:22:16","0","",
"2016-10-05 17:24:28","1","",
"2016-10-05 17:26:34","0","",
"2016-10-05 17:29:45","1","",
"2016-10-05 17:31:51","0","",
"2016-10-05 17:32:41","1","",
"2016-10-05 17:33:59","1","",
"2016-10-05 17:36:05","0","",
"2016-10-05 17:37:23","1","",
"2016-10-05 17:39:29","0","",
"2016-10-05 17:39:44","1","",
"2016-10-05 17:41:50","0","",
"2016-10-05 17:47:24","1","",
"2016-10-05 17:48:48","1","",
"2016-10-05 17:49:51","1","",
"2016-10-05 17:51:00","1","",
"2016-10-05 17:52:03","1","",
"2016-10-05 17:53:15","1","",
"2016-10-05 17:55:04","1","",
"2016-10-05 17:57:10","0","",
"2016-10-05 17:59:13","1","",
"2016-10-05 18:00:30","1","",
"2016-10-05 18:02:36","0","",
"2016-10-05 18:04:40","1","",
"2016-10-05 18:06:45","0","",
"2016-10-05 18:06:55","1","",
"2016-10-05 18:08:10","1","",
"2016-10-05 18:10:05","1","",
"2016-10-05 18:12:11","0","",
"2016-10-05 18:13:02","1","",
"2016-10-05 18:15:08","0","",
"2016-10-05 18:18:14","1","",
"2016-10-05 18:20:19","1","",
"2016-10-05 18:22:25","0","",
"2016-10-05 18:22:46","1","",
"2016-10-05 18:24:06","1","",
"2016-10-05 18:25:42","1","",
"2016-10-05 18:26:53","1","",
"2016-10-05 18:27:58","1","",
"2016-10-05 18:29:13","1","",
"2016-10-05 18:30:54","1","",
"2016-10-05 18:33:00","0","",
"2016-10-05 18:33:14","1","",
"2016-10-05 18:35:12","1","",
"2016-10-05 18:37:18","0","",
"2016-10-05 18:37:20","1","",
"2016-10-05 18:39:26","0","",
"2016-10-05 18:43:30","1","",
"2016-10-05 18:45:36","0","",
"2016-10-05 18:46:00","1","",
"2016-10-05 18:48:06","0","",
"2016-10-05 18:53:15","1","",
"2016-10-05 18:54:19","1","",
"2016-10-05 18:56:03","1","",
"2016-10-05 18:57:47","1","",
"2016-10-05 18:59:05","1","",
"2016-10-05 19:01:10","0","",
"2016-10-05 19:03:12","1","",
"2016-10-05 19:04:15","1","",
"2016-10-05 19:05:23","1","",
"2016-10-05 19:07:29","0","",
"2016-10-05 19:08:04","1","",
"2016-10-05 19:10:00","1","",
"2016-10-05 19:12:06","0","",
"2016-10-05 19:13:35","1","",
"2016-10-05 19:14:42","1","",
"2016-10-05 19:16:48","0","",
"2016-10-05 19:17:31","1","",
"2016-10-05 19:18:35","1","",
"2016-10-05 19:20:41","0","",
"2016-10-05 19:22:14","1","",
"2016-10-05 19:23:36","1","",
"2016-10-05 19:25:42","0","",
"2016-10-05 19:31:03","1","",
"2016-10-05 19:33:08","0","",
"2016-10-05 19:33:12","1","",
"2016-10-05 19:34:26","1","",
"2016-10-05 19:36:20","1","",
"2016-10-05 19:38:25","0","",
"2016-10-05 19:43:25","1","",
"2016-10-05 19:45:31","0","",
"2016-10-05 19:48:42","1","",
"2016-10-05 19:50:47","0","",
"2016-10-05 19:55:42","1","",
"2016-10-05 19:57:48","0","",
"2016-10-05 19:58:48","1","",
"2016-10-05 19:59:53","1","",
"2016-10-05 20:01:58","0","",
"2016-10-05 20:06:44","1","",
"2016-10-05 20:08:50","0","",
"2016-10-05 20:10:17","1","",
"2016-10-05 20:11:58","1","",
"2016-10-05 20:13:09","1","",
"2016-10-05 20:15:15","0","",
"2016-10-05 20:15:17","1","",
"2016-10-05 20:17:22","0","",
"2016-10-05 20:17:46","1","",
"2016-10-05 20:19:06","1","",
"2016-10-05 20:21:12","0","",
"2016-10-05 20:22:24","1","",
"2016-10-05 20:24:30","0","",
"2016-10-05 20:27:58","1","",
"2016-10-05 20:29:24","1","",
"2016-10-05 20:30:39","1","",
"2016-10-05 20:32:35","1","",
"2016-10-05 20:34:41","0","",
"2016-10-05 20:35:34","1","",
"2016-10-05 20:37:40","0","",
"2016-10-05 20:39:29","1","",
"2016-10-05 20:40:45","1","",
"2016-10-05 20:42:51","0","",
"2016-10-05 20:42:57","1","",
"2016-10-05 20:48:02","1","",
"2016-10-05 20:49:46","1","",
"2016-10-05 20:51:06","1","",
"2016-10-05 20:52:54","1","",
"2016-10-05 20:54:01","1","",
"2016-10-05 20:55:40","1","",
"2016-10-05 20:57:46","0","",
"2016-10-05 20:58:16","1","",
"2016-10-05 21:00:21","0","",
"2016-10-05 21:00:34","1","",
"2016-10-05 21:01:52","1","",
"2016-10-05 21:02:57","1","",
"2016-10-05 21:05:02","0","",
"2016-10-05 21:05:34","1","",
"2016-10-05 21:07:40","0","",
"2016-10-05 21:08:16","1","",
"2016-10-05 21:09:58","1","",
"2016-10-05 21:11:01","1","",
"2016-10-05 21:13:06","0","",
"2016-10-05 21:16:26","1","",
"2016-10-05 21:18:32","0","",
"2016-10-05 21:25:04","1","",
"2016-10-05 21:27:09","0","",
"2016-10-05 21:29:42","0","",
"2016-10-05 21:30:15","1","",
"2016-10-05 21:32:21","0","",
"2016-10-05 21:32:53","1","",
"2016-10-05 21:34:59","0","",
"2016-10-05 21:37:09","1","",
"2016-10-05 21:38:49","1","",
"2016-10-05 21:39:58","1","",
"2016-10-05 21:41:11","1","",
"2016-10-05 21:43:12","1","",
"2016-10-05 21:44:38","1","",
"2016-10-05 21:45:59","1","",
"2016-10-05 21:47:09","1","",
"2016-10-05 21:48:13","1","",
"2016-10-05 21:49:16","1","",
"2016-10-05 21:50:21","1","",
"2016-10-05 21:52:09","1","",
"2016-10-05 21:53:20","1","",
"2016-10-05 21:55:02","1","",
"2016-10-05 21:56:19","1","",
"2016-10-05 21:57:22","1","",
"2016-10-05 21:59:28","0","",
"2016-10-05 21:59:30","1","",
"2016-10-05 22:01:15","1","",
"2016-10-05 22:03:21","0","",
"2016-10-05 22:04:00","1","",
"2016-10-05 22:06:02","1","",
"2016-10-05 22:07:14","1","",
"2016-10-05 22:09:20","0","",
"2016-10-05 22:13:24","1","",
"2016-10-05 22:15:30","0","",
"2016-10-05 22:19:00","1","",
"2016-10-05 22:21:05","0","",
"2016-10-05 22:22:17","1","",
"2016-10-05 22:24:23","0","",
"2016-10-05 22:24:54","1","",
"2016-10-05 22:26:02","1","",
"2016-10-05 22:27:10","1","",
"2016-10-05 22:28:20","1","",
"2016-10-05 22:29:39","1","",
"2016-10-05 22:30:58","1","",
"2016-10-05 22:32:48","1","",
"2016-10-05 22:34:54","0","",
"2016-10-05 22:36:59","1","",
"2016-10-05 22:38:32","1","",
"2016-10-05 22:40:38","0","",
"2016-10-05 22:41:58","1","",
"2016-10-05 22:44:04","0","",
"2016-10-05 22:48:14","1","",
"2016-10-05 22:50:12","1","",
"2016-10-05 22:51:15","1","",
"2016-10-05 22:53:21","0","",
"2016-10-05 22:53:38","1","",
"2016-10-05 22:55:04","1","",
"2016-10-05 22:56:54","1","",
"2016-10-05 22:58:51","1","",
"2016-10-05 23:00:57","0","",
"2016-10-05 23:03:19","1","",
"2016-10-05 23:04:22","1","",
"2016-10-05 23:06:05","1","",
"2016-10-05 23:08:11","0","",
"2016-10-05 23:09:55","1","",
"2016-10-05 23:12:01","0","",
