"DateAndTime","OS_Rm253 (Bloomberg-2 East-Study 253) Occupancy","",
"2016-10-05 15:40:20","1","",
"2016-10-05 15:42:35","0","",
"2016-10-05 15:44:57","1","",
"2016-10-05 15:46:06","1","",
"2016-10-05 15:47:26","1","",
"2016-10-05 15:48:44","1","",
"2016-10-05 15:49:52","1","",
"2016-10-05 15:51:00","1","",
"2016-10-05 15:52:20","1","",
"2016-10-05 15:53:36","1","",
"2016-10-05 15:55:52","0","",
"2016-10-05 15:56:23","1","",
"2016-10-05 15:57:33","1","",
"2016-10-05 15:58:41","1","",
"2016-10-05 16:00:56","0","",
"2016-10-05 16:01:41","1","",
"2016-10-05 16:03:57","0","",
"2016-10-05 16:05:53","1","",
"2016-10-05 16:08:09","0","",
"2016-10-05 16:20:35","0","",
"2016-10-05 16:25:01","1","",
"2016-10-05 16:27:17","0","",
"2016-10-05 16:30:37","1","",
"2016-10-05 16:32:53","0","",
"2016-10-05 16:38:19","1","",
"2016-10-05 16:39:30","1","",
"2016-10-05 16:41:45","0","",
"2016-10-05 16:54:10","0","",
"2016-10-05 17:06:35","0","",
"2016-10-05 17:18:59","0","",
"2016-10-05 17:31:23","0","",
"2016-10-05 17:43:46","0","",
"2016-10-05 17:56:10","0","",
"2016-10-05 17:59:20","1","",
"2016-10-05 18:01:35","0","",
"2016-10-05 18:13:58","0","",
"2016-10-05 18:26:21","0","",
"2016-10-05 18:38:44","0","",
"2016-10-05 18:49:41","1","",
"2016-10-05 18:50:49","1","",
"2016-10-05 18:53:04","0","",
"2016-10-05 18:57:31","1","",
"2016-10-05 18:58:43","1","",
"2016-10-05 18:59:55","1","",
"2016-10-05 19:01:02","1","",
"2016-10-05 19:02:11","1","",
"2016-10-05 19:03:19","1","",
"2016-10-05 19:04:27","1","",
"2016-10-05 19:05:48","1","",
"2016-10-05 19:06:56","1","",
"2016-10-05 19:08:03","1","",
"2016-10-05 19:09:15","1","",
"2016-10-05 19:10:29","1","",
"2016-10-05 19:11:42","1","",
"2016-10-05 19:12:57","1","",
"2016-10-05 19:14:05","1","",
"2016-10-05 19:15:18","1","",
"2016-10-05 19:16:26","1","",
"2016-10-05 19:17:35","1","",
"2016-10-05 19:18:43","1","",
"2016-10-05 19:20:03","1","",
"2016-10-05 19:21:11","1","",
"2016-10-05 19:22:18","1","",
"2016-10-05 19:23:31","1","",
"2016-10-05 19:24:44","1","",
"2016-10-05 19:25:52","1","",
"2016-10-05 19:27:09","1","",
"2016-10-05 19:28:28","1","",
"2016-10-05 19:29:37","1","",
"2016-10-05 19:30:52","1","",
"2016-10-05 19:32:23","1","",
"2016-10-05 19:33:32","1","",
"2016-10-05 19:34:44","1","",
"2016-10-05 19:35:56","1","",
"2016-10-05 19:37:04","1","",
"2016-10-05 19:38:15","1","",
"2016-10-05 19:39:32","1","",
"2016-10-05 19:40:39","1","",
"2016-10-05 19:42:02","1","",
"2016-10-05 19:43:09","1","",
"2016-10-05 19:44:17","1","",
"2016-10-05 19:45:26","1","",
"2016-10-05 19:47:00","1","",
"2016-10-05 19:48:31","1","",
"2016-10-05 19:49:38","1","",
"2016-10-05 19:50:46","1","",
"2016-10-05 19:51:53","1","",
"2016-10-05 19:53:01","1","",
"2016-10-05 19:54:09","1","",
"2016-10-05 19:55:17","1","",
"2016-10-05 19:56:25","1","",
"2016-10-05 19:57:33","1","",
"2016-10-05 19:58:40","1","",
"2016-10-05 19:59:48","1","",
"2016-10-05 20:02:02","1","",
"2016-10-05 20:03:14","1","",
"2016-10-05 20:04:21","1","",
"2016-10-05 20:05:31","1","",
"2016-10-05 20:06:38","1","",
"2016-10-05 20:07:48","1","",
"2016-10-05 20:08:56","1","",
"2016-10-05 20:10:04","1","",
"2016-10-05 20:11:11","1","",
"2016-10-05 20:12:20","1","",
"2016-10-05 20:13:27","1","",
"2016-10-05 20:14:38","1","",
