"DateAndTime","OS_Rm353 (Bloomberg-3-Study 353) Occupancy","",
"2016-10-05 20:23:41","1","",
"2016-10-05 20:24:30","1","",
"2016-10-05 20:25:22","1","",
"2016-10-05 20:26:17","1","",
"2016-10-05 20:27:18","1","",
"2016-10-05 20:28:10","1","",
"2016-10-05 20:29:00","1","",
"2016-10-05 20:30:39","0","",
"2016-10-05 20:32:09","1","",
"2016-10-05 20:33:48","0","",
"2016-10-05 20:42:52","0","",
"2016-10-05 20:49:17","1","",
"2016-10-05 20:50:56","0","",
"2016-10-05 21:00:00","0","",
"2016-10-05 21:00:34","1","",
"2016-10-05 21:02:13","0","",
"2016-10-05 21:06:37","1","",
"2016-10-05 21:08:15","0","",
"2016-10-05 21:12:06","1","",
"2016-10-05 21:13:44","0","",
"2016-10-05 21:16:20","1","",
"2016-10-05 21:17:59","0","",
"2016-10-05 21:27:03","0","",
"2016-10-05 21:29:22","1","",
"2016-10-05 21:31:01","0","",
"2016-10-05 21:37:21","1","",
"2016-10-05 21:38:51","1","",
"2016-10-05 21:39:52","1","",
"2016-10-05 21:41:27","1","",
"2016-10-05 21:42:40","1","",
"2016-10-05 21:43:58","1","",
"2016-10-05 21:44:49","1","",
"2016-10-05 21:46:07","1","",
"2016-10-05 21:47:46","0","",
"2016-10-05 21:48:08","1","",
"2016-10-05 21:49:41","1","",
"2016-10-05 21:51:20","0","",
"2016-10-05 21:52:27","1","",
"2016-10-05 21:53:35","1","",
"2016-10-05 21:55:13","0","",
"2016-10-05 22:03:47","1","",
"2016-10-05 22:05:26","0","",
"2016-10-05 22:06:04","1","",
"2016-10-05 22:06:55","1","",
"2016-10-05 22:08:34","0","",
"2016-10-05 22:09:20","1","",
"2016-10-05 22:10:59","0","",
"2016-10-05 22:18:13","1","",
"2016-10-05 22:19:52","0","",
"2016-10-05 22:20:53","1","",
"2016-10-05 22:22:32","0","",
"2016-10-05 22:26:05","1","",
"2016-10-05 22:27:44","0","",
"2016-10-05 22:28:54","1","",
"2016-10-05 22:29:44","1","",
"2016-10-05 22:31:10","1","",
"2016-10-05 22:32:21","1","",
"2016-10-05 22:34:00","0","",
"2016-10-05 22:35:43","1","",
"2016-10-05 22:36:32","1","",
"2016-10-05 22:38:10","1","",
"2016-10-05 22:39:03","1","",
"2016-10-05 22:39:52","1","",
"2016-10-05 22:40:48","1","",
"2016-10-05 22:41:50","1","",
"2016-10-05 22:42:39","1","",
"2016-10-05 22:43:36","1","",
"2016-10-05 22:44:25","1","",
"2016-10-05 22:45:23","1","",
"2016-10-05 22:46:13","1","",
"2016-10-05 22:47:07","1","",
"2016-10-05 22:47:57","1","",
"2016-10-05 22:48:46","1","",
"2016-10-05 22:49:48","1","",
"2016-10-05 22:50:53","1","",
"2016-10-05 22:51:48","1","",
"2016-10-05 22:52:40","1","",
"2016-10-05 22:53:37","1","",
"2016-10-05 22:54:30","1","",
"2016-10-05 22:56:01","1","",
"2016-10-05 22:57:40","0","",
"2016-10-05 22:59:01","1","",
"2016-10-05 22:59:58","1","",
"2016-10-05 23:00:57","1","",
"2016-10-05 23:01:48","1","",
"2016-10-05 23:02:50","1","",
"2016-10-05 23:04:09","1","",
"2016-10-05 23:04:59","1","",
"2016-10-05 23:06:18","1","",
"2016-10-05 23:07:07","1","",
"2016-10-05 23:07:57","1","",
"2016-10-05 23:09:09","1","",
"2016-10-05 23:10:15","1","",
"2016-10-05 23:11:18","1","",
"2016-10-05 23:12:17","1","",
"2016-10-05 23:13:14","1","",
"2016-10-05 23:14:05","1","",
"2016-10-05 23:15:02","1","",
"2016-10-05 23:15:59","1","",
"2016-10-05 23:16:51","1","",
"2016-10-05 23:17:42","1","",
"2016-10-05 23:18:35","1","",
"2016-10-05 23:19:56","1","",
"2016-10-05 23:21:33","1","",
"2016-10-05 23:22:37","1","",
"2016-10-05 23:27:29","1","",
"2016-10-05 23:29:08","0","",
"2016-10-05 23:29:59","1","",
"2016-10-05 23:30:51","1","",
"2016-10-05 23:31:58","1","",
"2016-10-05 23:33:37","0","",
"2016-10-05 23:34:06","1","",
"2016-10-05 23:35:04","1","",
"2016-10-05 23:36:10","1","",
"2016-10-05 23:37:09","1","",
"2016-10-05 23:37:59","1","",
"2016-10-05 23:38:49","1","",
"2016-10-05 23:39:40","1","",
"2016-10-05 23:41:01","1","",
"2016-10-05 23:42:09","1","",
"2016-10-05 23:42:59","1","",
"2016-10-05 23:43:49","1","",
"2016-10-05 23:44:44","1","",
"2016-10-05 23:45:36","1","",
"2016-10-05 23:46:43","1","",
"2016-10-05 23:47:33","1","",
"2016-10-05 23:48:26","1","",
"2016-10-05 23:49:29","1","",
"2016-10-05 23:50:21","1","",
"2016-10-05 23:51:24","1","",
"2016-10-05 23:53:02","0","",
"2016-10-05 23:53:04","1","",
"2016-10-05 23:54:43","0","",
"2016-10-05 23:54:53","1","",
"2016-10-05 23:55:52","1","",
"2016-10-05 23:57:30","0","",
"2016-10-05 23:57:31","1","",
"2016-10-05 23:58:43","1","",
