"DateAndTime","OS_Corr357 (Bloomberg-3-corridor 300E) Occupancy","",
"2016-08-30 07:35:43","1","",
"2016-08-30 07:36:56","1","",
"2016-08-30 07:38:38","1","",
"2016-08-30 07:40:42","0","",
"2016-08-30 07:41:00","1","",
"2016-08-30 07:43:04","0","",
"2016-08-30 07:47:11","1","",
"2016-08-30 07:48:21","1","",
"2016-08-30 07:50:25","0","",
"2016-08-30 08:01:47","0","",
"2016-08-30 08:02:00","1","",
"2016-08-30 08:04:51","1","",
"2016-08-30 08:06:55","0","",
"2016-08-30 08:13:04","1","",
"2016-08-30 08:14:25","1","",
"2016-08-30 08:15:55","1","",
"2016-08-30 08:17:59","0","",
"2016-08-30 08:18:21","1","",
"2016-08-30 08:20:02","1","",
"2016-08-30 08:22:06","0","",
"2016-08-30 08:29:58","1","",
"2016-08-30 08:31:16","1","",
"2016-08-30 08:33:20","0","",
"2016-08-30 08:33:21","1","",
"2016-08-30 08:35:25","0","",
"2016-08-30 08:35:27","1","",
"2016-08-30 08:37:31","0","",
"2016-08-30 08:38:18","1","",
"2016-08-30 08:39:20","1","",
"2016-08-30 08:41:24","0","",
"2016-08-30 08:44:10","1","",
"2016-08-30 08:46:14","0","",
"2016-08-30 08:51:59","1","",
"2016-08-30 08:53:19","1","",
"2016-08-30 08:54:21","1","",
"2016-08-30 08:55:49","1","",
"2016-08-30 08:57:53","0","",
"2016-08-30 08:58:53","1","",
"2016-08-30 09:00:57","0","",
"2016-08-30 09:06:33","1","",
"2016-08-30 09:08:37","0","",
"2016-08-30 09:11:16","1","",
"2016-08-30 09:12:45","1","",
"2016-08-30 09:14:49","0","",
"2016-08-30 09:19:38","1","",
"2016-08-30 09:21:42","0","",
"2016-08-30 09:24:58","1","",
"2016-08-30 09:27:02","0","",
"2016-08-30 09:27:42","1","",
"2016-08-30 09:29:46","0","",
"2016-08-30 09:30:19","1","",
"2016-08-30 09:32:23","0","",
"2016-08-30 09:43:45","0","",
"2016-08-30 09:52:11","1","",
"2016-08-30 09:54:15","0","",
"2016-08-30 09:56:01","1","",
"2016-08-30 09:57:33","1","",
"2016-08-30 09:59:37","0","",
"2016-08-30 09:59:59","1","",
"2016-08-30 10:01:46","1","",
"2016-08-30 10:03:19","1","",
"2016-08-30 10:04:21","1","",
"2016-08-30 10:05:24","1","",
"2016-08-30 10:06:26","1","",
"2016-08-30 10:08:00","1","",
"2016-08-30 10:10:04","0","",
"2016-08-30 10:14:39","1","",
"2016-08-30 10:16:44","0","",
"2016-08-30 10:18:35","1","",
"2016-08-30 10:20:39","0","",
"2016-08-30 10:22:37","1","",
"2016-08-30 10:24:08","1","",
"2016-08-30 10:26:12","0","",
"2016-08-30 10:26:24","1","",
"2016-08-30 10:27:37","1","",
"2016-08-30 10:29:41","0","",
"2016-08-30 10:41:03","0","",
"2016-08-30 10:50:03","1","",
"2016-08-30 10:52:07","0","",
"2016-08-30 10:53:43","1","",
"2016-08-30 10:55:47","0","",
"2016-08-30 11:02:12","1","",
"2016-08-30 11:04:16","0","",
"2016-08-30 11:06:58","1","",
"2016-08-30 11:09:03","0","",
"2016-08-30 11:20:25","0","",
"2016-08-30 11:22:32","1","",
"2016-08-30 11:24:36","0","",
"2016-08-30 11:29:06","1","",
"2016-08-30 11:31:10","0","",
"2016-08-30 11:34:49","1","",
"2016-08-30 11:36:53","0","",
"2016-08-30 11:38:38","1","",
"2016-08-30 11:40:42","0","",
"2016-08-30 11:41:13","1","",
"2016-08-30 11:42:23","1","",
"2016-08-30 11:44:27","0","",
"2016-08-30 11:45:58","1","",
"2016-08-30 11:47:43","1","",
"2016-08-30 11:49:02","1","",
"2016-08-30 11:51:00","1","",
"2016-08-30 11:53:04","0","",
"2016-08-30 11:53:06","1","",
"2016-08-30 11:54:12","1","",
"2016-08-30 11:56:16","0","",
"2016-08-30 12:00:46","1","",
"2016-08-30 12:02:50","0","",
"2016-08-30 12:04:49","1","",
"2016-08-30 12:06:53","0","",
"2016-08-30 12:12:47","1","",
"2016-08-30 12:13:51","1","",
"2016-08-30 12:15:55","0","",
"2016-08-30 12:16:16","1","",
"2016-08-30 12:18:20","0","",
"2016-08-30 12:19:04","1","",
"2016-08-30 12:20:55","1","",
"2016-08-30 12:22:05","1","",
"2016-08-30 12:23:15","1","",
"2016-08-30 12:24:38","1","",
"2016-08-30 12:25:49","1","",
"2016-08-30 12:27:46","1","",
"2016-08-30 12:28:48","1","",
"2016-08-30 12:30:46","1","",
"2016-08-30 12:32:50","0","",
"2016-08-30 12:33:07","1","",
"2016-08-30 12:35:11","0","",
"2016-08-30 12:37:34","1","",
"2016-08-30 12:39:38","0","",
"2016-08-30 12:42:32","1","",
"2016-08-30 12:43:34","1","",
"2016-08-30 12:45:20","1","",
"2016-08-30 12:46:52","1","",
"2016-08-30 12:48:56","0","",
"2016-08-30 12:54:54","1","",
"2016-08-30 12:56:06","1","",
"2016-08-30 12:58:10","0","",
"2016-08-30 13:01:57","1","",
"2016-08-30 13:03:38","1","",
"2016-08-30 13:05:42","0","",
"2016-08-30 13:07:54","1","",
"2016-08-30 13:09:35","1","",
"2016-08-30 13:11:08","1","",
"2016-08-30 13:13:12","0","",
"2016-08-30 13:15:11","1","",
"2016-08-30 13:17:15","0","",
"2016-08-30 13:20:00","1","",
"2016-08-30 13:22:04","0","",
"2016-08-30 13:27:14","1","",
"2016-08-30 13:29:18","0","",
"2016-08-30 13:30:31","1","",
"2016-08-30 13:31:35","1","",
"2016-08-30 13:33:19","1","",
"2016-08-30 13:34:23","1","",
