"DateAndTime","OS_Corr130A (Bloomberg-1 West-Corridor 130) Occupancy","",
"2016-09-02 19:24:10","1","",
"2016-09-02 19:34:13","0","",
"2016-09-02 19:54:16","0","",
"2016-09-02 20:54:22","0","",
"2016-09-02 21:54:28","0","",
"2016-09-02 22:54:34","0","",
"2016-09-02 23:46:53","1","",
"2016-09-02 23:56:56","0","",
"2016-09-03 00:16:57","0","",
"2016-09-03 01:17:04","0","",
"2016-09-03 02:17:09","0","",
"2016-09-03 03:17:14","0","",
"2016-09-03 04:17:19","0","",
"2016-09-03 05:17:24","0","",
"2016-09-03 06:17:29","0","",
"2016-09-03 07:17:33","0","",
"2016-09-03 08:17:38","0","",
"2016-09-03 09:17:42","0","",
"2016-09-03 10:02:11","1","",
"2016-09-03 10:12:14","0","",
"2016-09-03 10:32:16","0","",
"2016-09-03 11:15:04","1","",
"2016-09-03 11:25:07","0","",
"2016-09-03 11:45:09","0","",
"2016-09-03 12:45:15","0","",
"2016-09-03 13:21:53","1","",
"2016-09-03 13:31:56","0","",
"2016-09-03 13:51:58","0","",
"2016-09-03 14:01:43","1","",
"2016-09-03 14:11:46","0","",
"2016-09-03 14:31:48","0","",
"2016-09-03 15:05:34","1","",
"2016-09-03 15:15:37","0","",
"2016-09-03 15:24:32","1","",
"2016-09-03 15:34:35","0","",
"2016-09-03 15:54:38","0","",
"2016-09-03 16:10:52","1","",
"2016-09-03 16:20:55","0","",
"2016-09-03 16:40:57","0","",
"2016-09-03 17:41:02","0","",
"2016-09-03 17:54:36","1","",
"2016-09-03 18:04:39","0","",
"2016-09-03 18:24:41","0","",
"2016-09-03 18:25:57","1","",
"2016-09-03 18:36:00","0","",
"2016-09-03 18:56:01","0","",
"2016-09-03 19:56:06","0","",
"2016-09-03 19:57:21","1","",
"2016-09-03 20:07:24","0","",
"2016-09-03 20:10:59","1","",
"2016-09-03 20:21:02","0","",
"2016-09-03 20:41:03","0","",
"2016-09-03 21:41:08","0","",
"2016-09-03 21:59:03","0","",
"2016-09-03 22:19:04","0","",
"2016-09-03 23:19:08","0","",
"2016-09-04 00:04:25","1","",
"2016-09-04 00:14:28","0","",
"2016-09-04 00:34:30","0","",
"2016-09-04 01:34:33","0","",
"2016-09-04 02:34:37","0","",
"2016-09-04 03:34:41","0","",
"2016-09-04 04:34:44","0","",
"2016-09-04 05:34:48","0","",
"2016-09-04 06:34:53","0","",
"2016-09-04 07:34:56","0","",
"2016-09-04 08:34:59","0","",
"2016-09-04 09:35:04","0","",
"2016-09-04 09:47:45","1","",
"2016-09-04 09:57:48","0","",
"2016-09-04 10:17:50","0","",
"2016-09-04 11:17:54","0","",
"2016-09-04 12:17:59","0","",
"2016-09-04 12:20:19","1","",
"2016-09-04 12:30:22","0","",
"2016-09-04 12:50:23","0","",
"2016-09-04 13:06:20","1","",
"2016-09-04 13:16:23","0","",
"2016-09-04 13:36:24","0","",
"2016-09-04 14:36:29","0","",
"2016-09-04 15:36:33","0","",
"2016-09-04 16:19:04","1","",
"2016-09-04 16:29:07","0","",
"2016-09-04 16:49:09","0","",
"2016-09-04 16:55:01","1","",
"2016-09-04 17:05:04","0","",
"2016-09-04 17:25:05","0","",
"2016-09-04 17:27:52","1","",
"2016-09-04 17:37:55","0","",
"2016-09-04 17:57:56","0","",
"2016-09-04 18:58:00","0","",
"2016-09-04 19:58:04","0","",
"2016-09-04 20:58:08","0","",
"2016-09-04 21:58:11","0","",
"2016-09-04 22:58:15","0","",
"2016-09-04 23:06:00","1","",
"2016-09-04 23:16:03","0","",
"2016-09-04 23:36:04","0","",
"2016-09-04 23:52:41","1","",
"2016-09-05 00:02:44","0","",
"2016-09-05 00:22:46","0","",
"2016-09-05 01:22:49","0","",
"2016-09-05 02:22:52","0","",
"2016-09-05 03:22:55","0","",
"2016-09-05 04:22:58","0","",
"2016-09-05 05:23:02","0","",
"2016-09-05 06:23:05","0","",
"2016-09-05 07:23:08","0","",
"2016-09-05 08:23:11","0","",
"2016-09-05 09:23:15","0","",
"2016-09-05 09:56:42","1","",
"2016-09-05 10:05:47","1","",
"2016-09-05 10:15:49","0","",
"2016-09-05 10:25:39","1","",
"2016-09-05 10:35:42","0","",
"2016-09-05 10:55:43","0","",
"2016-09-05 11:06:56","1","",
"2016-09-05 11:16:59","0","",
"2016-09-05 11:37:00","0","",
"2016-09-05 11:38:56","1","",
"2016-09-05 11:48:59","0","",
"2016-09-05 12:08:59","0","",
"2016-09-05 12:15:23","1","",
"2016-09-05 12:25:26","0","",
"2016-09-05 12:45:27","0","",
"2016-09-05 13:45:31","0","",
"2016-09-05 14:45:34","0","",
"2016-09-05 15:45:37","0","",
"2016-09-05 16:45:40","0","",
"2016-09-05 17:45:42","0","",
"2016-09-05 18:45:45","0","",
"2016-09-05 19:45:48","0","",
"2016-09-05 20:45:51","0","",
"2016-09-05 21:45:54","0","",
"2016-09-05 22:45:56","0","",
"2016-09-05 23:45:59","0","",
"2016-09-06 00:46:01","0","",
"2016-09-06 01:46:04","0","",
"2016-09-06 02:46:07","0","",
"2016-09-06 03:46:10","0","",
"2016-09-06 04:46:13","0","",
"2016-09-06 05:46:16","0","",
"2016-09-06 06:46:19","0","",
"2016-09-06 07:26:24","1","",
"2016-09-06 07:36:27","0","",
"2016-09-06 07:56:28","0","",
"2016-09-06 08:56:31","0","",
"2016-09-06 09:56:34","0","",
"2016-09-06 10:56:37","0","",
"2016-09-06 10:59:51","1","",
"2016-09-06 11:09:53","0","",
"2016-09-06 11:29:55","0","",
"2016-09-06 12:30:00","0","",
"2016-09-06 13:30:04","0","",
"2016-09-06 14:30:08","0","",
"2016-09-06 15:30:12","0","",
"2016-09-06 16:30:17","0","",
"2016-09-06 17:30:22","0","",
"2016-09-06 18:30:25","0","",
"2016-09-06 19:30:29","0","",
"2016-09-06 20:30:34","0","",
"2016-09-06 21:30:38","0","",
"2016-09-06 22:30:42","0","",
"2016-09-06 23:30:46","0","",
"2016-09-07 00:30:50","0","",
"2016-09-07 01:30:55","0","",
"2016-09-07 02:30:59","0","",
"2016-09-07 03:31:03","0","",
"2016-09-07 04:31:07","0","",
"2016-09-07 05:31:12","0","",
"2016-09-07 06:31:16","0","",
"2016-09-07 07:31:20","0","",
"2016-09-07 08:31:24","0","",
"2016-09-07 09:31:28","0","",
"2016-09-07 09:34:33","1","",
"2016-09-07 09:38:12","1","",
"2016-09-07 09:48:14","0","",
"2016-09-07 09:53:40","1","",
"2016-09-07 09:58:06","1","",
"2016-09-07 10:04:39","1","",
"2016-09-07 10:06:40","1","",
"2016-09-07 10:16:43","0","",
"2016-09-07 10:36:45","0","",
"2016-09-07 11:08:59","1","",
"2016-09-07 11:19:02","0","",
"2016-09-07 11:33:51","1","",
"2016-09-07 11:43:54","0","",
"2016-09-07 12:03:56","0","",
"2016-09-07 12:41:09","1","",
"2016-09-07 12:43:20","1","",
"2016-09-07 12:53:23","0","",
"2016-09-07 13:13:25","0","",
"2016-09-07 14:13:31","0","",
"2016-09-07 15:13:37","0","",
"2016-09-07 15:32:37","1","",
"2016-09-07 15:34:40","1","",
"2016-09-07 15:39:56","1","",
"2016-09-07 15:42:30","1","",
"2016-09-07 15:44:33","1","",
"2016-09-07 15:47:23","1","",
"2016-09-07 15:49:23","1","",
"2016-09-07 15:51:33","1","",
"2016-09-07 15:54:28","1","",
"2016-09-07 15:57:38","1","",
"2016-09-07 15:59:43","1","",
"2016-09-07 16:01:44","1","",
"2016-09-07 16:03:45","1","",
"2016-09-07 16:05:47","1","",
"2016-09-07 16:07:48","1","",
"2016-09-07 16:10:33","1","",
"2016-09-07 16:12:33","1","",
"2016-09-07 16:14:34","1","",
"2016-09-07 16:17:30","1","",
"2016-09-07 16:19:44","1","",
"2016-09-07 16:21:52","1","",
"2016-09-07 16:24:24","1","",
"2016-09-07 16:26:25","1","",
"2016-09-07 16:29:09","1","",
"2016-09-07 16:31:46","1","",
"2016-09-07 16:35:52","1","",
"2016-09-07 16:39:15","1","",
"2016-09-07 16:43:05","1","",
"2016-09-07 16:45:45","1","",
"2016-09-07 16:52:38","1","",
"2016-09-07 16:57:16","1","",
"2016-09-07 17:01:19","1","",
"2016-09-07 17:04:42","1","",
"2016-09-07 17:06:51","1","",
"2016-09-07 17:08:57","1","",
"2016-09-07 17:11:04","1","",
"2016-09-07 17:13:12","1","",
"2016-09-07 17:15:13","1","",
"2016-09-07 17:17:15","1","",
"2016-09-07 17:19:30","1","",
"2016-09-07 17:22:03","1","",
"2016-09-07 17:24:18","1","",
"2016-09-07 17:26:29","1","",
"2016-09-07 17:28:29","1","",
"2016-09-07 17:30:32","1","",
"2016-09-07 17:32:33","1","",
"2016-09-07 17:34:34","1","",
"2016-09-07 17:36:48","1","",
"2016-09-07 17:39:57","1","",
"2016-09-07 17:42:24","1","",
"2016-09-07 17:44:27","1","",
"2016-09-07 17:47:55","1","",
"2016-09-07 17:50:14","1","",
"2016-09-07 17:52:16","1","",
"2016-09-07 17:54:35","1","",
"2016-09-07 17:56:41","1","",
"2016-09-07 18:02:01","1","",
"2016-09-07 18:04:11","1","",
"2016-09-07 18:07:14","1","",
"2016-09-07 18:11:24","1","",
"2016-09-07 18:21:27","0","",
"2016-09-07 18:25:36","1","",
"2016-09-07 18:28:15","1","",
"2016-09-07 18:30:48","1","",
"2016-09-07 18:32:59","1","",
"2016-09-07 18:35:13","1","",
"2016-09-07 18:37:45","1","",
"2016-09-07 18:39:57","1","",
"2016-09-07 18:43:46","1","",
"2016-09-07 18:53:50","0","",
"2016-09-07 18:56:44","1","",
"2016-09-07 18:59:49","1","",
"2016-09-07 19:06:44","1","",
"2016-09-07 19:08:59","1","",
"2016-09-07 19:11:50","1","",
"2016-09-07 19:14:04","1","",
"2016-09-07 19:16:51","1","",
"2016-09-07 19:26:54","0","",
"2016-09-07 19:46:57","0","",
"2016-09-07 19:57:33","1","",
"2016-09-07 19:59:59","1","",
"2016-09-07 20:02:05","1","",
"2016-09-07 20:07:13","1","",
"2016-09-07 20:10:30","1","",
"2016-09-07 20:13:00","1","",
"2016-09-07 20:15:08","1","",
"2016-09-07 20:18:21","1","",
"2016-09-07 20:21:33","1","",
"2016-09-07 20:24:22","1","",
"2016-09-07 20:27:00","1","",
"2016-09-07 20:34:58","1","",
"2016-09-07 20:37:00","1","",
"2016-09-07 20:39:16","1","",
"2016-09-07 20:41:26","1","",
"2016-09-07 20:43:57","1","",
"2016-09-07 20:45:58","1","",
"2016-09-07 20:48:26","1","",
"2016-09-07 20:50:37","1","",
"2016-09-07 20:54:47","1","",
"2016-09-07 20:56:54","1","",
"2016-09-07 20:59:26","1","",
"2016-09-07 21:01:35","1","",
"2016-09-07 21:03:41","1","",
"2016-09-07 21:05:43","1","",
"2016-09-07 21:07:44","1","",
"2016-09-07 21:09:47","1","",
"2016-09-07 21:12:05","1","",
"2016-09-07 21:14:07","1","",
"2016-09-07 21:16:25","1","",
"2016-09-07 21:19:30","1","",
"2016-09-07 21:21:42","1","",
"2016-09-07 21:31:45","0","",
"2016-09-07 21:51:48","0","",
"2016-09-07 22:51:54","0","",
"2016-09-07 23:04:03","1","",
"2016-09-07 23:14:06","0","",
"2016-09-07 23:31:50","1","",
"2016-09-07 23:33:51","1","",
"2016-09-07 23:35:53","1","",
"2016-09-07 23:37:54","1","",
"2016-09-07 23:40:20","1","",
"2016-09-07 23:42:27","1","",
"2016-09-07 23:44:30","1","",
"2016-09-07 23:46:30","1","",
"2016-09-07 23:48:41","1","",
"2016-09-07 23:50:45","1","",
"2016-09-07 23:53:10","1","",
"2016-09-07 23:56:07","1","",
"2016-09-07 23:58:18","1","",
"2016-09-08 00:01:37","1","",
"2016-09-08 00:04:49","1","",
"2016-09-08 00:07:18","1","",
"2016-09-08 00:09:26","1","",
"2016-09-08 00:11:56","1","",
"2016-09-08 00:14:38","1","",
"2016-09-08 00:16:39","1","",
"2016-09-08 00:19:06","1","",
"2016-09-08 00:21:26","1","",
"2016-09-08 00:23:27","1","",
"2016-09-08 00:25:33","1","",
"2016-09-08 00:27:34","1","",
"2016-09-08 00:30:17","1","",
"2016-09-08 00:32:19","1","",
"2016-09-08 00:34:21","1","",
"2016-09-08 00:36:29","1","",
"2016-09-08 00:38:30","1","",
"2016-09-08 00:40:31","1","",
"2016-09-08 00:42:45","1","",
"2016-09-08 00:44:47","1","",
"2016-09-08 00:46:48","1","",
"2016-09-08 00:48:49","1","",
"2016-09-08 00:50:57","1","",
"2016-09-08 00:53:01","1","",
"2016-09-08 00:55:07","1","",
"2016-09-08 00:57:42","1","",
"2016-09-08 01:00:00","1","",
"2016-09-08 01:02:03","1","",
"2016-09-08 01:07:04","1","",
"2016-09-08 01:09:08","1","",
"2016-09-08 01:11:22","1","",
"2016-09-08 01:13:23","1","",
"2016-09-08 01:15:54","1","",
"2016-09-08 01:17:55","1","",
"2016-09-08 01:20:03","1","",
"2016-09-08 01:22:08","1","",
"2016-09-08 01:24:12","1","",
"2016-09-08 01:26:55","1","",
"2016-09-08 01:28:57","1","",
"2016-09-08 01:32:25","1","",
"2016-09-08 01:34:30","1","",
"2016-09-08 01:37:23","1","",
"2016-09-08 01:39:30","1","",
"2016-09-08 01:41:31","1","",
"2016-09-08 01:43:36","1","",
"2016-09-08 01:45:37","1","",
"2016-09-08 01:48:34","1","",
"2016-09-08 01:50:37","1","",
"2016-09-08 01:54:03","1","",
"2016-09-08 01:56:10","1","",
"2016-09-08 02:00:27","1","",
"2016-09-08 02:02:28","1","",
"2016-09-08 02:04:29","1","",
"2016-09-08 02:07:04","1","",
"2016-09-08 02:09:31","1","",
"2016-09-08 02:11:50","1","",
"2016-09-08 02:15:29","1","",
"2016-09-08 02:17:40","1","",
