"DateAndTime","OS_Hall121 (Bloomberg-1 West-Hall 121) Occupancy","",
"2016-08-29 21:31:18","1","",
"2016-08-29 21:33:13","0","",
"2016-08-29 21:34:59","1","",
"2016-08-29 21:36:29","1","",
"2016-08-29 21:38:24","0","",
"2016-08-29 21:38:49","1","",
"2016-08-29 21:39:46","1","",
"2016-08-29 21:41:32","1","",
"2016-08-29 21:43:27","0","",
"2016-08-29 21:53:57","0","",
"2016-08-29 22:02:17","1","",
"2016-08-29 22:03:40","1","",
"2016-08-29 22:04:37","1","",
"2016-08-29 22:05:35","1","",
"2016-08-29 22:06:38","1","",
"2016-08-29 22:08:01","1","",
"2016-08-29 22:09:23","1","",
"2016-08-29 22:11:18","1","",
"2016-08-29 22:13:12","0","",
"2016-08-29 22:16:21","1","",
"2016-08-29 22:17:18","1","",
"2016-08-29 22:19:13","0","",
"2016-08-29 22:28:36","1","",
"2016-08-29 22:30:20","1","",
"2016-08-29 22:32:15","0","",
"2016-08-29 22:41:19","1","",
"2016-08-29 22:43:14","0","",
"2016-08-29 22:44:18","1","",
"2016-08-29 22:46:12","0","",
"2016-08-29 22:56:44","0","",
"2016-08-29 23:07:14","0","",
"2016-08-29 23:17:46","0","",
"2016-08-29 23:28:17","0","",
"2016-08-29 23:38:48","0","",
"2016-08-29 23:49:19","0","",
"2016-08-29 23:59:50","0","",
"2016-08-30 00:02:26","1","",
"2016-08-30 00:03:25","1","",
"2016-08-30 00:05:19","0","",
"2016-08-30 00:15:50","0","",
"2016-08-30 00:26:21","0","",
"2016-08-30 00:36:52","0","",
"2016-08-30 00:44:25","1","",
"2016-08-30 00:46:04","1","",
"2016-08-30 00:47:58","0","",
"2016-08-30 00:58:29","0","",
"2016-08-30 01:08:59","0","",
"2016-08-30 01:19:29","0","",
"2016-08-30 01:30:00","0","",
"2016-08-30 01:40:31","0","",
"2016-08-30 01:46:29","1","",
"2016-08-30 01:47:26","1","",
"2016-08-30 01:49:21","0","",
"2016-08-30 01:59:52","0","",
"2016-08-30 02:10:22","0","",
"2016-08-30 02:20:53","0","",
"2016-08-30 02:31:24","0","",
"2016-08-30 02:41:55","0","",
"2016-08-30 02:52:26","0","",
"2016-08-30 03:02:56","0","",
"2016-08-30 03:13:27","0","",
"2016-08-30 03:23:58","0","",
"2016-08-30 03:34:29","0","",
"2016-08-30 03:45:00","0","",
"2016-08-30 03:55:32","0","",
"2016-08-30 04:06:04","0","",
"2016-08-30 04:16:35","0","",
"2016-08-30 04:27:06","0","",
"2016-08-30 04:37:38","0","",
"2016-08-30 04:48:09","0","",
"2016-08-30 04:58:40","0","",
"2016-08-30 05:09:11","0","",
"2016-08-30 05:19:42","0","",
"2016-08-30 05:30:12","0","",
"2016-08-30 05:40:43","0","",
"2016-08-30 05:48:29","1","",
"2016-08-30 05:50:24","0","",
"2016-08-30 05:51:15","1","",
"2016-08-30 05:53:10","0","",
"2016-08-30 06:03:40","0","",
"2016-08-30 06:14:11","0","",
"2016-08-30 06:24:42","0","",
"2016-08-30 06:35:13","0","",
"2016-08-30 06:45:44","0","",
"2016-08-30 06:56:14","0","",
"2016-08-30 07:06:45","0","",
"2016-08-30 07:17:15","0","",
"2016-08-30 07:27:46","0","",
"2016-08-30 07:38:17","0","",
"2016-08-30 07:43:19","1","",
"2016-08-30 07:45:14","0","",
"2016-08-30 07:46:01","1","",
"2016-08-30 07:47:34","1","",
"2016-08-30 07:48:33","1","",
"2016-08-30 07:49:58","1","",
"2016-08-30 07:51:09","1","",
"2016-08-30 07:53:04","0","",
"2016-08-30 07:53:32","1","",
"2016-08-30 07:55:27","0","",
"2016-08-30 07:56:19","1","",
