"DateAndTime","OS_Corr357 (Bloomberg-3-corridor 300E) Occupancy","",
"2016-10-05 20:22:22","1","",
"2016-10-05 20:24:26","0","",
"2016-10-05 20:29:20","1","",
"2016-10-05 20:30:46","1","",
"2016-10-05 20:32:01","1","",
"2016-10-05 20:34:05","0","",
"2016-10-05 20:35:33","1","",
"2016-10-05 20:37:37","0","",
"2016-10-05 20:39:28","1","",
"2016-10-05 20:41:31","0","",
"2016-10-05 20:42:53","1","",
"2016-10-05 20:48:00","1","",
"2016-10-05 20:49:04","1","",
"2016-10-05 20:51:08","0","",
"2016-10-05 20:51:13","1","",
"2016-10-05 20:52:18","1","",
"2016-10-05 20:54:01","1","",
"2016-10-05 20:56:05","0","",
"2016-10-05 20:58:22","1","",
"2016-10-05 21:00:11","1","",
"2016-10-05 21:02:02","1","",
"2016-10-05 21:03:04","1","",
"2016-10-05 21:04:09","1","",
"2016-10-05 21:05:29","1","",
"2016-10-05 21:06:41","1","",
"2016-10-05 21:07:43","1","",
"2016-10-05 21:08:45","1","",
"2016-10-05 21:10:02","1","",
"2016-10-05 21:11:58","1","",
"2016-10-05 21:14:02","0","",
"2016-10-05 21:15:32","1","",
"2016-10-05 21:16:36","1","",
"2016-10-05 21:18:40","0","",
"2016-10-05 21:25:03","1","",
"2016-10-05 21:26:26","1","",
"2016-10-05 21:27:32","1","",
"2016-10-05 21:29:10","1","",
"2016-10-05 21:30:15","1","",
"2016-10-05 21:32:18","0","",
"2016-10-05 21:33:01","1","",
"2016-10-05 21:35:05","0","",
"2016-10-05 21:37:15","1","",
"2016-10-05 21:38:56","1","",
"2016-10-05 21:40:03","1","",
"2016-10-05 21:41:08","1","",
"2016-10-05 21:43:11","0","",
"2016-10-05 21:43:52","1","",
"2016-10-05 21:44:54","1","",
"2016-10-05 21:45:56","1","",
"2016-10-05 21:48:00","0","",
"2016-10-05 21:48:16","1","",
"2016-10-05 21:49:33","1","",
"2016-10-05 21:50:35","1","",
"2016-10-05 21:52:39","0","",
"2016-10-05 21:53:27","1","",
"2016-10-05 21:54:29","1","",
"2016-10-05 21:55:32","1","",
"2016-10-05 21:56:35","1","",
"2016-10-05 21:58:39","0","",
"2016-10-05 22:01:23","1","",
"2016-10-05 22:03:27","0","",
"2016-10-05 22:03:58","1","",
"2016-10-05 22:06:02","0","",
"2016-10-05 22:06:14","1","",
"2016-10-05 22:07:16","1","",
"2016-10-05 22:08:20","1","",
"2016-10-05 22:10:24","0","",
"2016-10-05 22:11:45","1","",
"2016-10-05 22:13:28","1","",
"2016-10-05 22:14:45","1","",
"2016-10-05 22:15:59","1","",
"2016-10-05 22:17:08","1","",
"2016-10-05 22:18:55","1","",
"2016-10-05 22:20:58","0","",
"2016-10-05 22:22:25","1","",
"2016-10-05 22:24:28","0","",
"2016-10-05 22:24:53","1","",
"2016-10-05 22:26:13","1","",
"2016-10-05 22:28:17","0","",
"2016-10-05 22:29:59","1","",
"2016-10-05 22:31:04","1","",
"2016-10-05 22:32:56","1","",
